NO_LESEN,NAMA_KILANG,NEGERI,BULAN,TAHUN,FFB_PROSES,ESTET_SENDIRI,LAIN,PENGELUARAN_CPO,PENGELUARAN_PK
500008704000,K.K.S KLUANG OIL PALM PROCESSING SDN.BHD,JOHOR,1,2015,20117.32,0,20075.63,3799.76,1331.52
500014104000,K.K.S LADANG PADANG,JOHOR,1,2015,6940.51,2962.87,3977.64,1356.65,378.8
500026504000,MASAI PALM OIL MILL,JOHOR,1,2015,14513.77,3931.61,10581.72,2761.64,835
500027304000,SYARIKAT PERUSAHAAN KELAPA SAWIT S/B.,JOHOR,1,2015,32436.08,11.89,31967.87,5983.72,1878
500029004000,K.K.S. TAI TAK,JOHOR,1,2015,12852.12,6338.41,6513.71,2618,689.44
500040104000,KILANG KELAPA SAWIT PAMOL,JOHOR,1,2015,14633.74,14633.74,0,3393.12,810.3
500046004000,KAHANG PALM OIL MILL SDN. BHD.,JOHOR,1,2015,5766.96,2351.06,3190.35,1079.77,361.2
500048604000,K.K.S.LADANG TEREH,JOHOR,1,2015,18602.99,16318.56,2284.43,3801.38,1063.96
500056704000,KILANG KELAPA SAWIT AIR ITAM,JOHOR,1,2015,14171.16,10803.63,3364.21,2889.24,749.15
500057504000,K.K.S.CORONATION,JOHOR,1,2015,29296.22,1968.17,27296.43,5456.37,1797.99
500058304000,KILANG KELAPA SAWIT SEDENAK,JOHOR,1,2015,27027.82,12541.99,14485.83,5510.53,1417.95
500059104000,K.K.S SOUTHERN MALAY,JOHOR,1,2015,9685.45,2206.72,7481.73,1788.6,491.15
