nama,lesen,negeri,daerah,jumlah_pengeluaran,purata_hasil_buah
STESEN PENYELIDIKAN MPOB KLUANG,001450-802001,JOHOR,KLUANG,13328.85,23.54
STESEN PENYELIDIKAN MPOB HULU PAKA,001450-802002,TERENGGANU,DUNGUN,8558.59,20.74
STESEN PENYELIDIKAN MPOB TELUK INTAN,001450-802003,PERAK,HILIR PERAK,7428.06,20.76
STESEN PENYELIDIKAN MPOB LAHAD DATU,001450-802005,SABAH,LAHAD DATU,31240.93,26.27
STESEN PENYELIDIKAN MPOB KERATONG,001450-802008,PAHANG,ROMPIN,8976.47,20.13
FELDA ULU JEMPOL,500770-702000,PAHANG,MARAN,30727.28,15.68
FELDA BUKIT GOH,500771-502000,PAHANG,KUANTAN,37954.26,13.5
FELDA BUKIT MENDI,500772-302000,PAHANG,BERA,39877.26,20.76
FELDA BUKIT PUCHONG,500773-102000,PAHANG,BERA,33836.13,18.65
FELDA JENGKA 1,500774-002000,PAHANG,MARAN,40171.14,18.14
